relationship_id,country_code,currency_code,headline_target_type,headline_indicator_key,candidate_indicator_id,candidate_indicator_key,candidate_indicator_name,candidate_macro_theme,lag_months,observation_pairs,correlation,abs_correlation,rejection_reason,processed_at
11,AU,AUD,CPI,cpi_headline_yoy,120,rba_trimmed_mean_cpi_yoy,RBA Trimmed Mean CPI (YoY),Inflation,3,24,0.667721,0.667721,not_best_lag,2026-04-25T22:25:54.019571+00:00
12,AU,AUD,CPI,cpi_headline_yoy,120,rba_trimmed_mean_cpi_yoy,RBA Trimmed Mean CPI (YoY),Inflation,0,22,0.557092,0.557092,low_sample,2026-04-25T22:25:54.019571+00:00
13,AU,AUD,CPI,cpi_headline_yoy,121,export_price_index_qoq,Export Price Index (QoQ),Inflation,4,8,0.329237,0.329237,low_sample_and_low_correlation,2026-04-25T22:25:54.019571+00:00
14,AU,AUD,CPI,cpi_headline_yoy,121,export_price_index_qoq,Export Price Index (QoQ),Inflation,3,32,-0.266315,0.266315,low_correlation,2026-04-25T22:25:54.019571+00:00
15,AU,AUD,CPI,cpi_headline_yoy,121,export_price_index_qoq,Export Price Index (QoQ),Inflation,6,30,-0.131280,0.131280,low_correlation,2026-04-25T22:25:54.019571+00:00
16,AU,AUD,CPI,cpi_headline_yoy,122,import_price_index_qoq,Import Price Index (QoQ),Inflation,4,8,0.324772,0.324772,low_sample_and_low_correlation,2026-04-25T22:25:54.019571+00:00
17,AU,AUD,CPI,cpi_headline_yoy,122,import_price_index_qoq,Import Price Index (QoQ),Inflation,3,31,-0.259069,0.259069,low_correlation,2026-04-25T22:25:54.019571+00:00
18,AU,AUD,CPI,cpi_headline_yoy,122,import_price_index_qoq,Import Price Index (QoQ),Inflation,6,29,-0.016068,0.016068,low_correlation,2026-04-25T22:25:54.019571+00:00
19,AU,AUD,CPI,cpi_headline_yoy,123,producer_price_index_qoq,Producer Price Index (QoQ),Inflation,6,23,0.416096,0.416096,low_sample,2026-04-25T22:25:54.019571+00:00
20,AU,AUD,CPI,cpi_headline_yoy,123,producer_price_index_qoq,Producer Price Index (QoQ),Inflation,3,24,0.350577,0.350577,low_correlation,2026-04-25T22:25:54.019571+00:00
21,AU,AUD,CPI,cpi_headline_yoy,124,producer_price_index_yoy,Producer Price Index (YoY),Inflation,6,23,0.495893,0.495893,low_sample,2026-04-25T22:25:54.019571+00:00
22,AU,AUD,CPI,cpi_headline_yoy,124,producer_price_index_yoy,Producer Price Index (YoY),Inflation,3,24,0.433516,0.433516,not_best_lag,2026-04-25T22:25:54.019571+00:00
23,AU,AUD,CPI,cpi_headline_yoy,125,commodity_prices_yoy,Commodity Prices (YoY),Inflation,5,22,-0.495566,0.495566,low_sample,2026-04-25T22:25:54.019571+00:00
24,AU,AUD,CPI,cpi_headline_yoy,125,commodity_prices_yoy,Commodity Prices (YoY),Inflation,2,23,-0.355287,0.355287,low_sample_and_low_correlation,2026-04-25T22:25:54.019571+00:00
25,AU,AUD,CPI,cpi_headline_yoy,125,commodity_prices_yoy,Commodity Prices (YoY),Inflation,0,23,-0.325187,0.325187,low_sample_and_low_correlation,2026-04-25T22:25:54.019571+00:00
26,AU,AUD,CPI,cpi_headline_yoy,125,commodity_prices_yoy,Commodity Prices (YoY),Inflation,3,22,-0.304403,0.304403,low_sample_and_low_correlation,2026-04-25T22:25:54.019571+00:00
27,AU,AUD,CPI,cpi_headline_yoy,125,commodity_prices_yoy,Commodity Prices (YoY),Inflation,1,23,-0.215853,0.215853,low_sample_and_low_correlation,2026-04-25T22:25:54.019571+00:00
28,AU,AUD,CPI,cpi_headline_yoy,125,commodity_prices_yoy,Commodity Prices (YoY),Inflation,6,21,-0.114717,0.114717,low_sample_and_low_correlation,2026-04-25T22:25:54.019571+00:00
29,AU,AUD,CPI,cpi_headline_yoy,125,commodity_prices_yoy,Commodity Prices (YoY),Inflation,4,22,-0.004241,0.004241,low_sample_and_low_correlation,2026-04-25T22:25:54.019571+00:00
30,AU,AUD,CPI,cpi_headline_yoy,126,unemployment_rate,Unemployment Rate,Labor,4,30,-0.378091,0.378091,low_correlation,2026-04-25T22:25:54.019571+00:00
31,AU,AUD,CPI,cpi_headline_yoy,126,unemployment_rate,Unemployment Rate,Labor,3,30,-0.341084,0.341084,low_correlation,2026-04-25T22:25:54.019571+00:00
32,AU,AUD,CPI,cpi_headline_yoy,126,unemployment_rate,Unemployment Rate,Labor,1,31,-0.272192,0.272192,low_correlation,2026-04-25T22:25:54.019571+00:00
33,AU,AUD,CPI,cpi_headline_yoy,126,unemployment_rate,Unemployment Rate,Labor,0,31,-0.241452,0.241452,low_correlation,2026-04-25T22:25:54.019571+00:00
34,AU,AUD,CPI,cpi_headline_yoy,126,unemployment_rate,Unemployment Rate,Labor,5,30,-0.213443,0.213443,low_correlation,2026-04-25T22:25:54.019571+00:00
35,AU,AUD,CPI,cpi_headline_yoy,126,unemployment_rate,Unemployment Rate,Labor,2,31,-0.181014,0.181014,low_correlation,2026-04-25T22:25:54.019571+00:00
36,AU,AUD,CPI,cpi_headline_yoy,127,employment_change,Employment Change,Labor,0,31,0.358454,0.358454,low_correlation,2026-04-25T22:25:54.019571+00:00
37,AU,AUD,CPI,cpi_headline_yoy,127,employment_change,Employment Change,Labor,6,29,0.336688,0.336688,low_correlation,2026-04-25T22:25:54.019571+00:00
38,AU,AUD,CPI,cpi_headline_yoy,127,employment_change,Employment Change,Labor,3,30,0.309022,0.309022,low_correlation,2026-04-25T22:25:54.019571+00:00
39,AU,AUD,CPI,cpi_headline_yoy,127,employment_change,Employment Change,Labor,2,31,0.240843,0.240843,low_correlation,2026-04-25T22:25:54.019571+00:00
40,AU,AUD,CPI,cpi_headline_yoy,127,employment_change,Employment Change,Labor,5,30,0.181405,0.181405,low_correlation,2026-04-25T22:25:54.019571+00:00
41,AU,AUD,CPI,cpi_headline_yoy,127,employment_change,Employment Change,Labor,4,30,-0.025245,0.025245,low_correlation,2026-04-25T22:25:54.019571+00:00
42,AU,AUD,CPI,cpi_headline_yoy,127,employment_change,Employment Change,Labor,1,31,0.022649,0.022649,low_correlation,2026-04-25T22:25:54.019571+00:00
43,AU,AUD,CPI,cpi_headline_yoy,128,full_time_employment_change,Full-Time Employment Change,Labor,2,31,0.246490,0.246490,low_correlation,2026-04-25T22:25:54.019571+00:00
44,AU,AUD,CPI,cpi_headline_yoy,128,full_time_employment_change,Full-Time Employment Change,Labor,5,30,0.236378,0.236378,low_correlation,2026-04-25T22:25:54.019571+00:00
45,AU,AUD,CPI,cpi_headline_yoy,128,full_time_employment_change,Full-Time Employment Change,Labor,4,30,0.087826,0.087826,low_correlation,2026-04-25T22:25:54.019571+00:00
46,AU,AUD,CPI,cpi_headline_yoy,128,full_time_employment_change,Full-Time Employment Change,Labor,6,29,0.074709,0.074709,low_correlation,2026-04-25T22:25:54.019571+00:00
47,AU,AUD,CPI,cpi_headline_yoy,128,full_time_employment_change,Full-Time Employment Change,Labor,1,31,0.056340,0.056340,low_correlation,2026-04-25T22:25:54.019571+00:00
48,AU,AUD,CPI,cpi_headline_yoy,128,full_time_employment_change,Full-Time Employment Change,Labor,3,30,-0.023417,0.023417,low_correlation,2026-04-25T22:25:54.019571+00:00
49,AU,AUD,CPI,cpi_headline_yoy,128,full_time_employment_change,Full-Time Employment Change,Labor,0,31,-0.008441,0.008441,low_correlation,2026-04-25T22:25:54.019571+00:00
50,AU,AUD,CPI,cpi_headline_yoy,129,part_time_employment_change,Part-Time Employment Change,Labor,6,29,0.360704,0.360704,low_correlation,2026-04-25T22:25:54.019571+00:00
51,AU,AUD,CPI,cpi_headline_yoy,129,part_time_employment_change,Part-Time Employment Change,Labor,3,30,0.352258,0.352258,low_correlation,2026-04-25T22:25:54.019571+00:00
52,AU,AUD,CPI,cpi_headline_yoy,129,part_time_employment_change,Part-Time Employment Change,Labor,4,30,-0.185350,0.185350,low_correlation,2026-04-25T22:25:54.019571+00:00
53,AU,AUD,CPI,cpi_headline_yoy,129,part_time_employment_change,Part-Time Employment Change,Labor,2,31,0.152077,0.152077,low_correlation,2026-04-25T22:25:54.019571+00:00
54,AU,AUD,CPI,cpi_headline_yoy,129,part_time_employment_change,Part-Time Employment Change,Labor,1,31,-0.132861,0.132861,low_correlation,2026-04-25T22:25:54.019571+00:00
55,AU,AUD,CPI,cpi_headline_yoy,129,part_time_employment_change,Part-Time Employment Change,Labor,5,30,0.063965,0.063965,low_correlation,2026-04-25T22:25:54.019571+00:00
56,AU,AUD,CPI,cpi_headline_yoy,131,leading_index_mom,Leading Index (MoM),Growth,4,31,0.231410,0.231410,low_correlation,2026-04-25T22:25:54.019571+00:00
57,AU,AUD,CPI,cpi_headline_yoy,131,leading_index_mom,Leading Index (MoM),Growth,5,31,-0.157834,0.157834,low_correlation,2026-04-25T22:25:54.019571+00:00
58,AU,AUD,CPI,cpi_headline_yoy,131,leading_index_mom,Leading Index (MoM),Growth,3,29,0.099501,0.099501,low_correlation,2026-04-25T22:25:54.019571+00:00
59,AU,AUD,CPI,cpi_headline_yoy,131,leading_index_mom,Leading Index (MoM),Growth,0,35,0.089105,0.089105,low_correlation,2026-04-25T22:25:54.019571+00:00
60,AU,AUD,CPI,cpi_headline_yoy,131,leading_index_mom,Leading Index (MoM),Growth,6,31,0.078919,0.078919,low_correlation,2026-04-25T22:25:54.019571+00:00
61,AU,AUD,CPI,cpi_headline_yoy,131,leading_index_mom,Leading Index (MoM),Growth,2,33,-0.026189,0.026189,low_correlation,2026-04-25T22:25:54.019571+00:00
62,AU,AUD,CPI,cpi_headline_yoy,132,private_sector_credit_mom,Private Sector Credit (MoM),Growth,4,30,-0.373187,0.373187,low_correlation,2026-04-25T22:25:54.019571+00:00
63,AU,AUD,CPI,cpi_headline_yoy,132,private_sector_credit_mom,Private Sector Credit (MoM),Growth,0,22,-0.275811,0.275811,low_sample_and_low_correlation,2026-04-25T22:25:54.019571+00:00
64,AU,AUD,CPI,cpi_headline_yoy,132,private_sector_credit_mom,Private Sector Credit (MoM),Growth,6,27,-0.183907,0.183907,low_correlation,2026-04-25T22:25:54.019571+00:00
65,AU,AUD,CPI,cpi_headline_yoy,132,private_sector_credit_mom,Private Sector Credit (MoM),Growth,3,28,-0.158104,0.158104,low_correlation,2026-04-25T22:25:54.019571+00:00
66,AU,AUD,CPI,cpi_headline_yoy,132,private_sector_credit_mom,Private Sector Credit (MoM),Growth,2,30,-0.120061,0.120061,low_correlation,2026-04-25T22:25:54.019571+00:00
67,AU,AUD,CPI,cpi_headline_yoy,132,private_sector_credit_mom,Private Sector Credit (MoM),Growth,5,29,-0.085724,0.085724,low_correlation,2026-04-25T22:25:54.019571+00:00
68,AU,AUD,CPI,cpi_headline_yoy,133,private_sector_credit_yoy,Private Sector Credit (YoY),Growth,1,31,-0.215398,0.215398,low_correlation,2026-04-25T22:25:54.019571+00:00
69,AU,AUD,CPI,cpi_headline_yoy,133,private_sector_credit_yoy,Private Sector Credit (YoY),Growth,2,31,-0.182490,0.182490,low_correlation,2026-04-25T22:25:54.019571+00:00
70,AU,AUD,CPI,cpi_headline_yoy,133,private_sector_credit_yoy,Private Sector Credit (YoY),Growth,4,30,-0.109914,0.109914,low_correlation,2026-04-25T22:25:54.019571+00:00
71,AU,AUD,CPI,cpi_headline_yoy,133,private_sector_credit_yoy,Private Sector Credit (YoY),Growth,6,29,0.108949,0.108949,low_correlation,2026-04-25T22:25:54.019571+00:00
72,AU,AUD,CPI,cpi_headline_yoy,133,private_sector_credit_yoy,Private Sector Credit (YoY),Growth,3,30,0.097530,0.097530,low_correlation,2026-04-25T22:25:54.019571+00:00
73,AU,AUD,CPI,cpi_headline_yoy,133,private_sector_credit_yoy,Private Sector Credit (YoY),Growth,5,30,-0.079146,0.079146,low_correlation,2026-04-25T22:25:54.019571+00:00
74,AU,AUD,CPI,cpi_headline_yoy,133,private_sector_credit_yoy,Private Sector Credit (YoY),Growth,0,24,-0.012709,0.012709,low_correlation,2026-04-25T22:25:54.019571+00:00
75,AU,AUD,CPI,cpi_headline_yoy,134,manufacturing_pmi,Manufacturing PMI,Growth,5,44,-0.480789,0.480789,not_best_lag,2026-04-25T22:25:54.019571+00:00
76,AU,AUD,CPI,cpi_headline_yoy,134,manufacturing_pmi,Manufacturing PMI,Growth,1,42,-0.316282,0.316282,low_correlation,2026-04-25T22:25:54.019571+00:00
77,AU,AUD,CPI,cpi_headline_yoy,134,manufacturing_pmi,Manufacturing PMI,Growth,4,46,-0.195452,0.195452,low_correlation,2026-04-25T22:25:54.019571+00:00
78,AU,AUD,CPI,cpi_headline_yoy,134,manufacturing_pmi,Manufacturing PMI,Growth,0,40,0.135407,0.135407,low_correlation,2026-04-25T22:25:54.019571+00:00
79,AU,AUD,CPI,cpi_headline_yoy,134,manufacturing_pmi,Manufacturing PMI,Growth,6,42,0.049835,0.049835,low_correlation,2026-04-25T22:25:54.019571+00:00
80,AU,AUD,CPI,cpi_headline_yoy,134,manufacturing_pmi,Manufacturing PMI,Growth,3,44,0.039994,0.039994,low_correlation,2026-04-25T22:25:54.019571+00:00
81,AU,AUD,CPI,cpi_headline_yoy,135,services_pmi,Services PMI,Growth,1,44,0.135917,0.135917,low_correlation,2026-04-25T22:25:54.019571+00:00
82,AU,AUD,CPI,cpi_headline_yoy,135,services_pmi,Services PMI,Growth,4,46,0.101855,0.101855,low_correlation,2026-04-25T22:25:54.019571+00:00
83,AU,AUD,CPI,cpi_headline_yoy,135,services_pmi,Services PMI,Growth,5,45,-0.061871,0.061871,low_correlation,2026-04-25T22:25:54.019571+00:00
84,AU,AUD,CPI,cpi_headline_yoy,135,services_pmi,Services PMI,Growth,0,44,0.027967,0.027967,low_correlation,2026-04-25T22:25:54.019571+00:00
85,AU,AUD,CPI,cpi_headline_yoy,135,services_pmi,Services PMI,Growth,6,44,0.008664,0.008664,low_correlation,2026-04-25T22:25:54.019571+00:00
86,AU,AUD,CPI,cpi_headline_yoy,135,services_pmi,Services PMI,Growth,3,46,0.005484,0.005484,low_correlation,2026-04-25T22:25:54.019571+00:00
87,AU,AUD,CPI,cpi_headline_yoy,135,services_pmi,Services PMI,Growth,2,47,0.000504,0.000504,low_correlation,2026-04-25T22:25:54.019571+00:00
88,AU,AUD,CPI,cpi_headline_yoy,136,composite_pmi,Composite PMI,Growth,1,35,0.127599,0.127599,low_correlation,2026-04-25T22:25:54.019571+00:00
89,AU,AUD,CPI,cpi_headline_yoy,136,composite_pmi,Composite PMI,Growth,4,36,0.107672,0.107672,low_correlation,2026-04-25T22:25:54.019571+00:00
90,AU,AUD,CPI,cpi_headline_yoy,136,composite_pmi,Composite PMI,Growth,5,36,-0.098280,0.098280,low_correlation,2026-04-25T22:25:54.019571+00:00
91,AU,AUD,CPI,cpi_headline_yoy,136,composite_pmi,Composite PMI,Growth,0,36,0.076586,0.076586,low_correlation,2026-04-25T22:25:54.019571+00:00
92,AU,AUD,CPI,cpi_headline_yoy,136,composite_pmi,Composite PMI,Growth,2,35,-0.058871,0.058871,low_correlation,2026-04-25T22:25:54.019571+00:00
93,AU,AUD,CPI,cpi_headline_yoy,136,composite_pmi,Composite PMI,Growth,3,37,0.050586,0.050586,low_correlation,2026-04-25T22:25:54.019571+00:00
94,AU,AUD,CPI,cpi_headline_yoy,136,composite_pmi,Composite PMI,Growth,6,36,0.030293,0.030293,low_correlation,2026-04-25T22:25:54.019571+00:00
95,AU,AUD,CPI,cpi_headline_yoy,199,retail_sales_mom,Retail Sales (MoM),Growth,1,36,-0.391040,0.391040,low_correlation,2026-04-25T22:25:54.019571+00:00
96,AU,AUD,CPI,cpi_headline_yoy,199,retail_sales_mom,Retail Sales (MoM),Growth,4,36,-0.303851,0.303851,low_correlation,2026-04-25T22:25:54.019571+00:00
97,AU,AUD,CPI,cpi_headline_yoy,199,retail_sales_mom,Retail Sales (MoM),Growth,5,37,-0.198308,0.198308,low_correlation,2026-04-25T22:25:54.019571+00:00
98,AU,AUD,CPI,cpi_headline_yoy,199,retail_sales_mom,Retail Sales (MoM),Growth,2,35,-0.170865,0.170865,low_correlation,2026-04-25T22:25:54.019571+00:00
99,AU,AUD,CPI,cpi_headline_yoy,199,retail_sales_mom,Retail Sales (MoM),Growth,6,37,-0.106083,0.106083,low_correlation,2026-04-25T22:25:54.019571+00:00
100,AU,AUD,CPI,cpi_headline_yoy,199,retail_sales_mom,Retail Sales (MoM),Growth,0,33,0.026699,0.026699,low_correlation,2026-04-25T22:25:54.019571+00:00
101,AU,AUD,CPI,cpi_headline_yoy,199,retail_sales_mom,Retail Sales (MoM),Growth,3,33,-0.016814,0.016814,low_correlation,2026-04-25T22:25:54.019571+00:00
102,AU,AUD,CPI,cpi_headline_yoy,200,building_permits,Building Permits,Growth,3,45,-0.244781,0.244781,low_correlation,2026-04-25T22:25:54.019571+00:00
103,AU,AUD,CPI,cpi_headline_yoy,200,building_permits,Building Permits,Growth,6,47,-0.238139,0.238139,low_correlation,2026-04-25T22:25:54.019571+00:00
104,AU,AUD,CPI,cpi_headline_yoy,200,building_permits,Building Permits,Growth,5,46,0.218310,0.218310,low_correlation,2026-04-25T22:25:54.019571+00:00
105,AU,AUD,CPI,cpi_headline_yoy,200,building_permits,Building Permits,Growth,2,40,0.124012,0.124012,low_correlation,2026-04-25T22:25:54.019571+00:00
106,AU,AUD,CPI,cpi_headline_yoy,200,building_permits,Building Permits,Growth,0,33,-0.085656,0.085656,low_correlation,2026-04-25T22:25:54.019571+00:00
107,AU,AUD,CPI,cpi_headline_yoy,200,building_permits,Building Permits,Growth,4,50,0.060565,0.060565,low_correlation,2026-04-25T22:25:54.019571+00:00
108,AU,AUD,CPI,cpi_headline_yoy,200,building_permits,Building Permits,Growth,1,40,0.027509,0.027509,low_correlation,2026-04-25T22:25:54.019571+00:00
109,AU,AUD,CPI,cpi_headline_yoy,201,td_mi_inflation_gauge_mom,TD-MI Inflation Gauge (MoM),Inflation,2,29,0.440455,0.440455,not_best_lag,2026-04-25T22:25:54.019571+00:00
110,AU,AUD,CPI,cpi_headline_yoy,201,td_mi_inflation_gauge_mom,TD-MI Inflation Gauge (MoM),Inflation,1,30,-0.204441,0.204441,low_correlation,2026-04-25T22:25:54.019571+00:00
111,AU,AUD,CPI,cpi_headline_yoy,201,td_mi_inflation_gauge_mom,TD-MI Inflation Gauge (MoM),Inflation,4,29,-0.096349,0.096349,low_correlation,2026-04-25T22:25:54.019571+00:00
112,AU,AUD,CPI,cpi_headline_yoy,201,td_mi_inflation_gauge_mom,TD-MI Inflation Gauge (MoM),Inflation,3,30,-0.026278,0.026278,low_correlation,2026-04-25T22:25:54.019571+00:00
113,AU,AUD,CPI,cpi_headline_yoy,201,td_mi_inflation_gauge_mom,TD-MI Inflation Gauge (MoM),Inflation,0,31,0.016131,0.016131,low_correlation,2026-04-25T22:25:54.019571+00:00
114,AU,AUD,CPI,cpi_headline_yoy,201,td_mi_inflation_gauge_mom,TD-MI Inflation Gauge (MoM),Inflation,6,29,-0.005903,0.005903,low_correlation,2026-04-25T22:25:54.019571+00:00
115,AU,AUD,CPI,cpi_headline_yoy,202,consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,4,33,0.329207,0.329207,low_correlation,2026-04-25T22:25:54.019571+00:00
116,AU,AUD,CPI,cpi_headline_yoy,202,consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,6,29,0.227444,0.227444,low_correlation,2026-04-25T22:25:54.019571+00:00
117,AU,AUD,CPI,cpi_headline_yoy,202,consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,5,28,0.226672,0.226672,low_correlation,2026-04-25T22:25:54.019571+00:00
118,AU,AUD,CPI,cpi_headline_yoy,202,consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,3,31,0.194707,0.194707,low_correlation,2026-04-25T22:25:54.019571+00:00
119,AU,AUD,CPI,cpi_headline_yoy,202,consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,2,30,0.192586,0.192586,low_correlation,2026-04-25T22:25:54.019571+00:00
120,AU,AUD,CPI,cpi_headline_yoy,202,consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,1,36,0.189620,0.189620,low_correlation,2026-04-25T22:25:54.019571+00:00
121,AU,AUD,CPI,cpi_headline_yoy,202,consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,0,37,0.049366,0.049366,low_correlation,2026-04-25T22:25:54.019571+00:00
122,AU,AUD,CPI,cpi_headline_yoy,203,ai_group_manufacturing_index,Ai Group Manufacturing Index,Growth,1,26,-0.327565,0.327565,low_correlation,2026-04-25T22:25:54.019571+00:00
123,AU,AUD,CPI,cpi_headline_yoy,203,ai_group_manufacturing_index,Ai Group Manufacturing Index,Growth,4,27,-0.277166,0.277166,low_correlation,2026-04-25T22:25:54.019571+00:00
124,AU,AUD,CPI,cpi_headline_yoy,203,ai_group_manufacturing_index,Ai Group Manufacturing Index,Growth,0,28,-0.234382,0.234382,low_correlation,2026-04-25T22:25:54.019571+00:00
125,AU,AUD,CPI,cpi_headline_yoy,203,ai_group_manufacturing_index,Ai Group Manufacturing Index,Growth,3,29,-0.211212,0.211212,low_correlation,2026-04-25T22:25:54.019571+00:00
126,AU,AUD,CPI,cpi_headline_yoy,203,ai_group_manufacturing_index,Ai Group Manufacturing Index,Growth,5,29,-0.198463,0.198463,low_correlation,2026-04-25T22:25:54.019571+00:00
127,AU,AUD,CPI,cpi_headline_yoy,203,ai_group_manufacturing_index,Ai Group Manufacturing Index,Growth,2,28,-0.144314,0.144314,low_correlation,2026-04-25T22:25:54.019571+00:00
128,AU,AUD,CPI,cpi_headline_yoy,203,ai_group_manufacturing_index,Ai Group Manufacturing Index,Growth,6,28,-0.089579,0.089579,low_correlation,2026-04-25T22:25:54.019571+00:00
129,AU,AUD,CPI,cpi_headline_yoy,204,ai_group_industry_index,Ai Group Industry Index,Growth,6,17,0.489793,0.489793,low_sample,2026-04-25T22:25:54.019571+00:00
130,AU,AUD,CPI,cpi_headline_yoy,204,ai_group_industry_index,Ai Group Industry Index,Growth,3,18,0.447910,0.447910,low_sample,2026-04-25T22:25:54.019571+00:00
131,AU,AUD,CPI,cpi_headline_yoy,204,ai_group_industry_index,Ai Group Industry Index,Growth,2,16,-0.278226,0.278226,low_sample_and_low_correlation,2026-04-25T22:25:54.019571+00:00
132,AU,AUD,CPI,cpi_headline_yoy,204,ai_group_industry_index,Ai Group Industry Index,Growth,0,17,0.218226,0.218226,low_sample_and_low_correlation,2026-04-25T22:25:54.019571+00:00
133,AU,AUD,CPI,cpi_headline_yoy,204,ai_group_industry_index,Ai Group Industry Index,Growth,1,15,-0.105049,0.105049,low_sample_and_low_correlation,2026-04-25T22:25:54.019571+00:00
134,AU,AUD,CPI,cpi_headline_yoy,204,ai_group_industry_index,Ai Group Industry Index,Growth,5,17,-0.103487,0.103487,low_sample_and_low_correlation,2026-04-25T22:25:54.019571+00:00
135,AU,AUD,CPI,cpi_headline_yoy,204,ai_group_industry_index,Ai Group Industry Index,Growth,4,16,-0.095717,0.095717,low_sample_and_low_correlation,2026-04-25T22:25:54.019571+00:00
136,AU,AUD,CPI,cpi_headline_yoy,205,ai_group_construction_index,Ai Group Construction Index,Growth,1,26,-0.275345,0.275345,low_correlation,2026-04-25T22:25:54.019571+00:00
137,AU,AUD,CPI,cpi_headline_yoy,205,ai_group_construction_index,Ai Group Construction Index,Growth,4,27,-0.225589,0.225589,low_correlation,2026-04-25T22:25:54.019571+00:00
138,AU,AUD,CPI,cpi_headline_yoy,205,ai_group_construction_index,Ai Group Construction Index,Growth,6,28,0.073152,0.073152,low_correlation,2026-04-25T22:25:54.019571+00:00
139,AU,AUD,CPI,cpi_headline_yoy,205,ai_group_construction_index,Ai Group Construction Index,Growth,5,29,0.044485,0.044485,low_correlation,2026-04-25T22:25:54.019571+00:00
140,AU,AUD,CPI,cpi_headline_yoy,205,ai_group_construction_index,Ai Group Construction Index,Growth,2,28,-0.034851,0.034851,low_correlation,2026-04-25T22:25:54.019571+00:00
141,AU,AUD,CPI,cpi_headline_yoy,205,ai_group_construction_index,Ai Group Construction Index,Growth,3,29,0.024415,0.024415,low_correlation,2026-04-25T22:25:54.019571+00:00
142,AU,AUD,CPI,cpi_headline_yoy,205,ai_group_construction_index,Ai Group Construction Index,Growth,0,28,0.015371,0.015371,low_correlation,2026-04-25T22:25:54.019571+00:00
143,AU,AUD,CPI,cpi_headline_yoy,345,rba_weighted_median_cpi_qoq,RBA Weighted Median CPI (QoQ),Inflation,3,26,0.421233,0.421233,not_best_lag,2026-04-25T22:25:54.019571+00:00
144,AU,AUD,CPI,cpi_headline_yoy,345,rba_weighted_median_cpi_qoq,RBA Weighted Median CPI (QoQ),Inflation,0,26,0.337367,0.337367,low_correlation,2026-04-25T22:25:54.019571+00:00
145,AU,AUD,CPI,cpi_headline_yoy,346,rba_weighted_median_cpi_yoy,RBA Weighted Median CPI (YoY),Inflation,3,26,0.422094,0.422094,not_best_lag,2026-04-25T22:25:54.019571+00:00
146,AU,AUD,CPI,cpi_headline_yoy,346,rba_weighted_median_cpi_yoy,RBA Weighted Median CPI (YoY),Inflation,0,26,0.419539,0.419539,not_best_lag,2026-04-25T22:25:54.019571+00:00
147,AU,AUD,CPI,cpi_headline_yoy,347,monthly_cpi_indicator,Monthly CPI Indicator,Inflation,1,14,0.327258,0.327258,low_sample_and_low_correlation,2026-04-25T22:25:54.019571+00:00
148,AU,AUD,CPI,cpi_headline_yoy,347,monthly_cpi_indicator,Monthly CPI Indicator,Inflation,4,19,0.242564,0.242564,low_sample_and_low_correlation,2026-04-25T22:25:54.019571+00:00
