central_bank_code,currency,indicator_key,indicator,indicator_category,target_families,initial_signed_weight,initial_abs_weight,avg_abs_correlation,avg_model_importance,avg_pca_score,economic_rationale,initial_normalized_abs_weight,impact_score,contribution_hit_rate,refinement_multiplier,refined_signed_weight,refined_abs_weight,refined_normalized_abs_weight,weight_change,refinement_rationale,selection_criteria,interpretability_note
RBNZ,NZD,participation_rate,Labor Force Participation Rate,Labor,"gdp_growth,inflation,unemployment",0.044673495360336025,0.044673495360336025,0.5043308617834614,0.0276916595019425,0.3646882570921226,"Linked to gdp_growth, inflation, unemployment; strongest target link is inflation with Pearson 0.69. moderate positive Pearson correlation (0.69); Spearman 0.72; PCA loading signal 0.36; model importance signal 0.01",0.11951451328102165,-0.08465806736857097,0.4166666666666667,0.915341932631429,0.04089152358053116,0.04089152358053116,0.1173813115745939,-0.002133201706427751,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
ECB,EUR,construction_output_yoy,Construction Output (YoY),Growth,"gdp_growth,inflation,unemployment",0.05679796354502602,0.05679796354502602,0.16357708697994244,0.041398228131553735,0.5252143092080225,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.40. weak positive Pearson correlation (0.40); Spearman 0.28; same macro theme; PCA loading signal 0.53; model importance signal 0.07",0.12382401016367438,-0.08921386375368659,0.410958904109589,0.9107861362463134,0.05173079776383321,0.05173079776383321,0.1161793765653696,-0.007644633598304779,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
SNB,CHF,economic_sentiment_index,Economic Sentiment Index,Sentiment,"gdp_growth,inflation,unemployment",-0.07099396136117116,0.07099396136117116,0.5205746210066412,0.04283978784216253,0.4509574005699118,"Linked to gdp_growth, inflation, unemployment; strongest target link is unemployment with Pearson 0.71. strong positive Pearson correlation (0.71); Spearman 0.68; PCA loading signal 0.45; model importance signal 0.04",0.11207397169003853,0.004443049635485856,0.44594594594594594,1.004443049635486,-0.07130939105531861,0.07130939105531861,0.11610498657165585,0.00403101488161732,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
ECB,EUR,consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,"gdp_growth,inflation,unemployment",-0.04148610887757093,0.04148610887757093,0.1423450142136271,0.01969081737064327,0.5136478377762088,"Linked to gdp_growth, inflation, unemployment; strongest target link is unemployment with Pearson 0.34. weak positive Pearson correlation (0.34); Spearman 0.70; PCA loading signal 0.51; model importance signal 0.01",0.09044296743553769,0.21360518367885922,0.5866666666666667,1.2136051836788593,-0.05034775678448563,0.05034775678448563,0.1130732802805507,0.022630312845013018,Increased: contribution aligned with forward FX returns.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
SNB,CHF,cpi_headline_mom,Headline CPI (MoM),Inflation,"gdp_growth,inflation,unemployment",0.08670724882072432,0.08670724882072432,0.28576900630325736,0.0238242965440426,0.3152657194908059,"Linked to gdp_growth, inflation, unemployment; strongest target link is inflation with Pearson 0.43. moderate positive Pearson correlation (0.43); Spearman 0.38; same macro theme; PCA loading signal 0.32; model importance signal 0.01",0.1368796100870892,-0.2115908728810082,0.40350877192982454,0.7884091271189918,0.0683607863576365,0.0683607863576365,0.11130410826147753,-0.025575501825611677,Reduced: contribution moved against forward FX returns.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
RBNZ,NZD,exports,Exports,Growth,"gdp_growth,inflation,unemployment",0.036567510806054394,0.036567510806054394,0.1611131017697592,0.0192357574655773,0.3726955334793356,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.14. weak positive Pearson correlation (0.14); Spearman 0.23; same macro theme; PCA loading signal 0.37; model importance signal 0.04",0.09782866150572951,-0.012779101250663496,0.48,0.9872208987493365,0.03610021088297909,0.03610021088297909,0.10362759150360991,0.005798929997880398,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
ECB,EUR,zew_economic_sentiment,ZEW Economic Sentiment Index,Sentiment,"gdp_growth,inflation,unemployment",-0.04123245824497167,0.04123245824497167,0.43755624936491283,0.028113978054511768,0.33561681325507947,"Linked to gdp_growth, inflation, unemployment; strongest target link is unemployment with Pearson 0.48. moderate positive Pearson correlation (0.48); Spearman 0.37; PCA loading signal 0.34; model importance signal 0.02",0.08988998918510983,-0.043006563996527344,0.49333333333333335,0.9569934360034726,-0.03945919189072515,0.03945919189072515,0.08861924640262961,-0.0012707427824802248,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
RBNZ,NZD,employment_change_qoq,Employment Change (QoQ),Labor,"gdp_growth,inflation,unemployment",0.03305330220738292,0.03305330220738292,0.34748591478476104,0.05671656161808677,0.44639987151925214,"Linked to gdp_growth, inflation, unemployment; strongest target link is unemployment with Pearson -0.45. moderate negative Pearson correlation (-0.45); Spearman -0.38; same macro theme; PCA loading signal 0.45; model importance signal 0.02",0.08842713769724991,-0.07656553123268368,0.4090909090909091,0.9234344687673163,0.03052255856488021,0.03052255856488021,0.08761664137806273,-0.0008104963191871845,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
SNB,CHF,producer_import_prices_mom,Producer & Import Prices (MoM),Inflation,"gdp_growth,inflation,unemployment",0.05674452272973746,0.05674452272973746,0.24151873217908837,0.03712028072722557,0.526690470992808,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.50. moderate positive Pearson correlation (0.50); Spearman 0.47; PCA loading signal 0.53; model importance signal 0.05",0.0895792249375114,-0.09214118390263647,0.4626865671641791,0.9078588160973635,0.05151601522542938,0.05151601522542938,0.08387767960791728,-0.005701545329594118,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
BOC,CAD,cpi_headline_yoy,Headline CPI (YoY),Inflation,"inflation,unemployment",0.05360716239741377,0.05360716239741377,0.8306857700932573,0.1067646977476395,0.3886655144833463,"Linked to inflation, unemployment; strongest target link is inflation with Pearson 0.96. strong positive Pearson correlation (0.96); Spearman 0.90; same macro theme; PCA loading signal 0.39; model importance signal 0.09",0.07375392708971497,-0.09052591194776502,0.5333333333333333,0.909474088052235,0.04875432513445595,0.04875432513445595,0.06931545732880239,-0.004438469760912583,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
BOE,GBP,retail_price_index_yoy,Retail Price Index (YoY),Inflation,"gdp_growth,inflation,unemployment",0.04436806671307843,0.04436806671307843,0.5979164054232052,0.0812440794673253,0.2535130341110903,"Linked to gdp_growth, inflation, unemployment; strongest target link is inflation with Pearson 0.90. strong positive Pearson correlation (0.90); Spearman 0.91; same macro theme; PCA loading signal 0.25; model importance signal 0.04",0.06621321985582702,-0.0849188114803865,0.4533333333333333,0.9150811885196135,0.04060038322012131,0.04060038322012131,0.06559379666779312,-0.0006194231880339018,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
RBNZ,NZD,business_confidence,Business Confidence,Growth,"gdp_growth,inflation,unemployment",-0.022539902282700593,0.022539902282700593,0.45917241349059085,0.03683546237737236,0.3009365416206782,"Linked to gdp_growth, inflation, unemployment; strongest target link is unemployment with Pearson 0.72. strong positive Pearson correlation (0.72); Spearman 0.68; PCA loading signal 0.30; model importance signal 0.04",0.06030075392557077,0.005058776822517885,0.5540540540540541,1.0050587768225179,-0.022653926617950137,0.022653926617950137,0.06502931135575582,0.004728557430185049,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
ECB,EUR,economic_sentiment,Economic Sentiment,Sentiment,"gdp_growth,inflation,unemployment",0.03689332777798526,0.03689332777798526,0.10686208933263434,0.0566862908724148,0.4192522596323578,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.27. weak positive Pearson correlation (0.27); Spearman 0.44; PCA loading signal 0.42; model importance signal 0.10",0.08043034483325374,-0.23756828097423807,0.40789473684210525,0.7624317190257619,0.028128643318350195,0.028128643318350195,0.06317258549297541,-0.01725775934027833,Reduced: contribution moved against forward FX returns.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
BOE,GBP,cpi_headline_yoy,Headline CPI (YoY),Inflation,"gdp_growth,inflation,unemployment",0.0425780752675698,0.0425780752675698,0.5900802416607784,0.0,0.2486118719189385,"Linked to gdp_growth, inflation, unemployment; strongest target link is inflation with Pearson 0.91. strong positive Pearson correlation (0.91); Spearman 0.93; same macro theme; PCA loading signal 0.25",0.06354190451797447,-0.09893820982988083,0.44,0.9010617901701192,0.03836547672259452,0.03836547672259452,0.06198309177430705,-0.001558812743667412,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
BOC,CAD,full_time_employment_change,Full-Time Employment Change,Labor,"gdp_growth,inflation,unemployment",0.03840365823982607,0.03840365823982607,0.3428640283951741,0.007501213029749866,0.2939698828103399,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.80. strong positive Pearson correlation (0.80); Spearman 0.27; PCA loading signal 0.29",0.052836607705523904,0.06679461837228579,0.52,1.0667946183722858,0.04096881593605494,0.04096881593605494,0.0582465700221586,0.005409962316634695,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
RBA,AUD,cpi_headline_qoq,Headline CPI (QoQ),Inflation,"gdp_growth,inflation,unemployment",0.040012333926846395,0.040012333926846395,0.5856037209021868,0.04649494062739493,0.2075938071214254,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.82. strong positive Pearson correlation (0.82); Spearman 0.58; PCA loading signal 0.21; model importance signal 0.10",0.05455720055184547,-0.06043231564840876,0.6,0.9395676843515912,0.037594295933149675,0.037594295933149675,0.05817985827842056,0.003622657726575086,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
SNB,CHF,gdp_qoq,GDP (QoQ),Growth,"inflation,unemployment",0.027426327985521665,0.027426327985521665,0.0838782840852057,0.037900512172510004,0.3555178139913145,"Linked to inflation, unemployment; strongest target link is inflation with Pearson 0.11. weak positive Pearson correlation (0.11); Spearman 0.20; PCA loading signal 0.36; model importance signal 0.02",0.0432963233390187,0.2754212898338637,0.5454545454545454,1.2754212898338637,0.03498012261470063,0.03498012261470063,0.05695416278767641,0.013657839448657713,Increased: contribution aligned with forward FX returns.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
BOC,CAD,employment_change,Employment Change,Labor,"gdp_growth,inflation,unemployment",0.03920873241256186,0.03920873241256186,0.3241939070086081,0.0167013752616463,0.3072153942361847,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.84. strong positive Pearson correlation (0.84); Spearman 0.42; PCA loading signal 0.31; model importance signal 0.05",0.05394424666983948,0.017254881213679945,0.49333333333333335,1.01725488121368,0.03988527443287958,0.03988527443287958,0.05670606721301893,0.002761820543179451,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
BOE,GBP,avg_earnings_excl_bonus,Average Earnings (excl. Bonus),Labor,"gdp_growth,inflation,unemployment",0.03284162917138713,0.03284162917138713,0.41138575429920027,0.008363897083472934,0.2915968584737229,"Linked to gdp_growth, inflation, unemployment; strongest target link is inflation with Pearson 0.64. moderate positive Pearson correlation (0.64); Spearman 0.61; PCA loading signal 0.29; model importance signal 0.03",0.04901160167313767,0.05785070290964467,0.5416666666666666,1.0578507029096447,0.03474154050364977,0.03474154050364977,0.05612827670535207,0.007116675032214401,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
BOJ,JPY,coincident_index,Coincident Index,Growth,"gdp_growth,inflation,unemployment",0.03891060779924163,0.03891060779924163,0.44805742579145963,0.10862800366985981,0.20308626972107416,"Linked to gdp_growth, inflation, unemployment; strongest target link is unemployment with Pearson -0.59. moderate negative Pearson correlation (-0.59); Spearman -0.57; PCA loading signal 0.20; model importance signal 0.05",0.05142210973801206,0.0035875326404333392,0.4864864864864865,1.0035875326404333,0.03905020087478051,0.03905020087478051,0.0559265331230794,0.00450442338506734,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
BOE,GBP,avg_earnings_incl_bonus,Average Earnings (incl. Bonus),Labor,"gdp_growth,inflation,unemployment",0.0353901206972915,0.0353901206972915,0.43072083437762515,0.08498192204646793,0.2454055105116915,"Linked to gdp_growth, inflation, unemployment; strongest target link is inflation with Pearson 0.62. moderate positive Pearson correlation (0.62); Spearman 0.65; PCA loading signal 0.25",0.052814873760620294,-0.025742897676618755,0.5068493150684932,0.9742571023233813,0.034479076441417934,0.034479076441417934,0.05570424094595299,0.0028893671853326974,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
ECB,EUR,consumer_confidence,Consumer Confidence,Sentiment,"gdp_growth,inflation,unemployment",-0.022944970130256665,0.022944970130256665,0.3604265864869358,0.03384463525945384,0.3070804442109299,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.20. weak positive Pearson correlation (0.20); Spearman 0.40; PCA loading signal 0.31; model importance signal 0.04",0.05002183242647111,0.07691808431936407,0.5263157894736842,1.076918084319364,-0.024709853277441036,0.024709853277441036,0.05549451144946218,0.0054726790229910685,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
BOJ,JPY,cpi_ex_food_energy_yoy,CPI Ex Food and Energy (YoY),Inflation,"gdp_growth,inflation,unemployment",0.03881727076633423,0.03881727076633423,0.4707342617995763,0.0094398985943179,0.299368559399061,"Linked to gdp_growth, inflation, unemployment; strongest target link is inflation with Pearson 0.84. strong positive Pearson correlation (0.84); Spearman 0.79; same macro theme; PCA loading signal 0.30; model importance signal 0.01",0.05129876067151719,-0.005533578384275444,0.4864864864864865,0.9944664216157245,0.03860247235588508,0.03860247235588508,0.055285309690645684,0.003986549019128496,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
RBA,AUD,rba_trimmed_mean_cpi_qoq,RBA Trimmed Mean CPI (QoQ),Inflation,"gdp_growth,inflation,unemployment",0.043711436451564,0.043711436451564,0.692920027277466,0.0,0.2827402185054314,"Linked to gdp_growth, inflation, unemployment; strongest target link is inflation with Pearson 0.91. strong positive Pearson correlation (0.91); Spearman 0.89; same macro theme; PCA loading signal 0.28",0.05960096227471387,-0.2041397034033431,0.4166666666666667,0.7958602965966569,0.034788196779007644,0.034788196779007644,0.05383721940061085,-0.005763742874103021,Reduced: contribution moved against forward FX returns.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
BOJ,JPY,services_pmi,S&P Global Services PMI,Growth,"gdp_growth,inflation,unemployment",0.03977402122778197,0.03977402122778197,0.5006541107363575,0.10690132748075883,0.2276024113633742,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.65. moderate positive Pearson correlation (0.65); Spearman 0.14; same macro theme; PCA loading signal 0.23; model importance signal 0.02",0.05256314922782799,-0.06368368400306193,0.49333333333333335,0.9363163159969381,0.03724106502838082,0.03724106502838082,0.053335542716595574,0.0007723934887675851,Mostly unchanged: validation signal was neutral.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
RBA,AUD,rba_weighted_median_cpi_yoy,RBA Weighted Median CPI (YoY),Inflation,"gdp_growth,inflation,unemployment",0.04169868354215163,0.04169868354215163,0.65902313075964,0.008531246811072134,0.2612950537863377,"Linked to gdp_growth, inflation, unemployment; strongest target link is inflation with Pearson 0.87. strong positive Pearson correlation (0.87); Spearman 0.88; same macro theme; PCA loading signal 0.26",0.05685655440435858,-0.18597415309544357,0.391304347826087,0.8140258469045565,0.033943806185205073,0.033943806185205073,0.05253046464275019,-0.004326089761608386,Reduced: contribution moved against forward FX returns.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
RBA,AUD,producer_price_index_yoy,Producer Price Index (YoY),Inflation,"gdp_growth,inflation,unemployment",0.04505539285958127,0.04505539285958127,0.7152894238466954,0.0541844523281902,0.2956188215830626,"Linked to gdp_growth, inflation, unemployment; strongest target link is inflation with Pearson 0.87. strong positive Pearson correlation (0.87); Spearman 0.88; same macro theme; PCA loading signal 0.30; model importance signal 0.03",0.06143345970960956,-0.2491765909832963,0.4166666666666667,0.7508234090167036,0.033828643661417655,0.033828643661417655,0.0523522424112486,-0.009081217298360963,Reduced: contribution moved against forward FX returns.,"Top refined normalized weight after combining initial macro relevance, FX validation impact, PCA/model signals, and redundancy pruning.",Using this subset keeps the model focused on the largest macro drivers while reducing redundant low-weight inputs.
