component_id,score_date,country_code,currency_code,theme,canonical_name,raw_signal,direction,weight,directional_signal,weighted_signal,notes,processed_at
12,2020-01-24,EU,EUR,Inflation,core_cpi_yoy,0.000000,1,3.0000,0.000000,0.000000,Core HICP — ECB's focus once supply shocks pass,2026-05-03T20:30:00.072964+00:00
13,2020-01-24,EU,EUR,Inflation,cpi_headline_yoy,0.000000,1,2.0000,0.000000,0.000000,Headline HICP — primary ECB mandate target,2026-05-03T20:30:00.072964+00:00
14,2020-01-24,EU,EUR,Growth,manufacturing_pmi,1.500000,1,1.0000,1.500000,1.500000,Manufacturing PMI — industrial sector pulse,2026-05-03T20:30:00.072964+00:00
15,2020-01-24,JP,JPY,Growth,composite_pmi,2.500000,1,2.0000,2.500000,5.000000,Composite PMI — real-time activity,2026-05-03T20:30:00.072964+00:00
16,2020-01-24,AU,AUD,Growth,composite_pmi,-1.000000,1,2.0000,-1.000000,-2.000000,Composite PMI,2026-05-03T20:30:00.072964+00:00
17,2020-01-29,EU,EUR,Inflation,core_cpi_yoy,0.000000,1,3.0000,0.000000,0.000000,Core HICP — ECB's focus once supply shocks pass,2026-05-03T20:30:00.072964+00:00
18,2020-01-29,EU,EUR,Inflation,cpi_headline_yoy,0.000000,1,2.0000,0.000000,0.000000,Headline HICP — primary ECB mandate target,2026-05-03T20:30:00.072964+00:00
19,2020-01-29,EU,EUR,Growth,manufacturing_pmi,1.500000,1,1.0000,1.500000,1.500000,Manufacturing PMI — industrial sector pulse,2026-05-03T20:30:00.072964+00:00
20,2020-01-29,JP,JPY,Growth,composite_pmi,2.500000,1,2.0000,2.500000,5.000000,Composite PMI — real-time activity,2026-05-03T20:30:00.072964+00:00
21,2020-01-29,AU,AUD,Growth,composite_pmi,-1.000000,1,2.0000,-1.000000,-2.000000,Composite PMI,2026-05-03T20:30:00.072964+00:00
22,2020-01-30,EU,EUR,Inflation,core_cpi_yoy,0.000000,1,3.0000,0.000000,0.000000,Core HICP — ECB's focus once supply shocks pass,2026-05-03T20:30:00.072964+00:00
23,2020-01-30,EU,EUR,Inflation,cpi_headline_yoy,0.000000,1,2.0000,0.000000,0.000000,Headline HICP — primary ECB mandate target,2026-05-03T20:30:00.072964+00:00
24,2020-01-30,EU,EUR,Inflation,consumer_inflation_expectation,0.200000,1,1.0000,0.200000,0.200000,Inflation expectations — key for credibility,2026-05-03T20:30:00.072964+00:00
25,2020-01-30,EU,EUR,Labor,unemployment_rate,-0.100000,-1,3.0000,0.100000,0.300000,Euro-area unemployment — secondary mandate,2026-05-03T20:30:00.072964+00:00
26,2020-01-30,EU,EUR,Growth,manufacturing_pmi,1.500000,1,1.0000,1.500000,1.500000,Manufacturing PMI — industrial sector pulse,2026-05-03T20:30:00.072964+00:00
27,2020-01-30,JP,JPY,Inflation,core_cpi_yoy,0.000000,1,3.0000,0.000000,0.000000,Core CPI ex fresh food — BoJ's preferred measure,2026-05-03T20:30:00.072964+00:00
28,2020-01-30,JP,JPY,Growth,composite_pmi,2.500000,1,2.0000,2.500000,5.000000,Composite PMI — real-time activity,2026-05-03T20:30:00.072964+00:00
29,2020-01-30,JP,JPY,Growth,industrial_production_mom,2.300000,1,1.0000,2.300000,2.300000,Industrial production — Japan is export-driven,2026-05-03T20:30:00.072964+00:00
30,2020-01-30,AU,AUD,Growth,composite_pmi,-1.000000,1,2.0000,-1.000000,-2.000000,Composite PMI,2026-05-03T20:30:00.072964+00:00
31,2020-01-31,EU,EUR,Inflation,core_cpi_yoy,-0.200000,1,3.0000,-0.200000,-0.600000,Core HICP — ECB's focus once supply shocks pass,2026-05-03T20:30:00.072964+00:00
32,2020-01-31,EU,EUR,Inflation,cpi_headline_yoy,0.100000,1,2.0000,0.100000,0.200000,Headline HICP — primary ECB mandate target,2026-05-03T20:30:00.072964+00:00
33,2020-01-31,EU,EUR,Inflation,consumer_inflation_expectation,0.200000,1,1.0000,0.200000,0.200000,Inflation expectations — key for credibility,2026-05-03T20:30:00.072964+00:00
34,2020-01-31,EU,EUR,Labor,unemployment_rate,-0.100000,-1,3.0000,0.100000,0.300000,Euro-area unemployment — secondary mandate,2026-05-03T20:30:00.072964+00:00
35,2020-01-31,EU,EUR,Growth,manufacturing_pmi,1.500000,1,1.0000,1.500000,1.500000,Manufacturing PMI — industrial sector pulse,2026-05-03T20:30:00.072964+00:00
36,2020-01-31,JP,JPY,Inflation,core_cpi_yoy,0.000000,1,3.0000,0.000000,0.000000,Core CPI ex fresh food — BoJ's preferred measure,2026-05-03T20:30:00.072964+00:00
37,2020-01-31,JP,JPY,Growth,composite_pmi,2.500000,1,2.0000,2.500000,5.000000,Composite PMI — real-time activity,2026-05-03T20:30:00.072964+00:00
38,2020-01-31,JP,JPY,Growth,industrial_production_mom,2.300000,1,1.0000,2.300000,2.300000,Industrial production — Japan is export-driven,2026-05-03T20:30:00.072964+00:00
39,2020-01-31,AU,AUD,Growth,composite_pmi,-1.000000,1,2.0000,-1.000000,-2.000000,Composite PMI,2026-05-03T20:30:00.072964+00:00
40,2020-02-03,EU,EUR,Inflation,core_cpi_yoy,-0.200000,1,3.0000,-0.200000,-0.600000,Core HICP — ECB's focus once supply shocks pass,2026-05-03T20:30:00.072964+00:00
41,2020-02-03,EU,EUR,Inflation,cpi_headline_yoy,0.100000,1,2.0000,0.100000,0.200000,Headline HICP — primary ECB mandate target,2026-05-03T20:30:00.072964+00:00
42,2020-02-03,EU,EUR,Inflation,consumer_inflation_expectation,0.200000,1,1.0000,0.200000,0.200000,Inflation expectations — key for credibility,2026-05-03T20:30:00.072964+00:00
43,2020-02-03,EU,EUR,Labor,unemployment_rate,-0.100000,-1,3.0000,0.100000,0.300000,Euro-area unemployment — secondary mandate,2026-05-03T20:30:00.072964+00:00
44,2020-02-03,EU,EUR,Growth,manufacturing_pmi,0.801388,1,1.0000,0.801388,0.801388,Manufacturing PMI — industrial sector pulse,2026-05-03T20:30:00.072964+00:00
45,2020-02-03,JP,JPY,Inflation,core_cpi_yoy,0.000000,1,3.0000,0.000000,0.000000,Core CPI ex fresh food — BoJ's preferred measure,2026-05-03T20:30:00.072964+00:00
46,2020-02-03,JP,JPY,Growth,composite_pmi,2.500000,1,2.0000,2.500000,5.000000,Composite PMI — real-time activity,2026-05-03T20:30:00.072964+00:00
47,2020-02-03,JP,JPY,Growth,industrial_production_mom,2.300000,1,1.0000,2.300000,2.300000,Industrial production — Japan is export-driven,2026-05-03T20:30:00.072964+00:00
48,2020-02-03,AU,AUD,Growth,composite_pmi,-1.000000,1,2.0000,-1.000000,-2.000000,Composite PMI,2026-05-03T20:30:00.072964+00:00
49,2020-02-04,EU,EUR,Inflation,core_cpi_yoy,-0.200000,1,3.0000,-0.200000,-0.600000,Core HICP — ECB's focus once supply shocks pass,2026-05-03T20:30:00.072964+00:00
50,2020-02-04,EU,EUR,Inflation,cpi_headline_yoy,0.100000,1,2.0000,0.100000,0.200000,Headline HICP — primary ECB mandate target,2026-05-03T20:30:00.072964+00:00
51,2020-02-04,EU,EUR,Inflation,consumer_inflation_expectation,0.200000,1,1.0000,0.200000,0.200000,Inflation expectations — key for credibility,2026-05-03T20:30:00.072964+00:00
52,2020-02-04,EU,EUR,Labor,unemployment_rate,-0.100000,-1,3.0000,0.100000,0.300000,Euro-area unemployment — secondary mandate,2026-05-03T20:30:00.072964+00:00
53,2020-02-04,EU,EUR,Growth,manufacturing_pmi,0.801388,1,1.0000,0.801388,0.801388,Manufacturing PMI — industrial sector pulse,2026-05-03T20:30:00.072964+00:00
54,2020-02-04,JP,JPY,Inflation,core_cpi_yoy,0.000000,1,3.0000,0.000000,0.000000,Core CPI ex fresh food — BoJ's preferred measure,2026-05-03T20:30:00.072964+00:00
55,2020-02-04,JP,JPY,Growth,composite_pmi,2.500000,1,2.0000,2.500000,5.000000,Composite PMI — real-time activity,2026-05-03T20:30:00.072964+00:00
56,2020-02-04,JP,JPY,Growth,industrial_production_mom,2.300000,1,1.0000,2.300000,2.300000,Industrial production — Japan is export-driven,2026-05-03T20:30:00.072964+00:00
57,2020-02-04,AU,AUD,Growth,composite_pmi,1.555635,1,2.0000,1.555635,3.111270,Composite PMI,2026-05-03T20:30:00.072964+00:00
58,2020-02-05,EU,EUR,Inflation,core_cpi_yoy,-0.200000,1,3.0000,-0.200000,-0.600000,Core HICP — ECB's focus once supply shocks pass,2026-05-03T20:30:00.072964+00:00
59,2020-02-05,EU,EUR,Inflation,cpi_headline_yoy,0.100000,1,2.0000,0.100000,0.200000,Headline HICP — primary ECB mandate target,2026-05-03T20:30:00.072964+00:00
60,2020-02-05,EU,EUR,Inflation,consumer_inflation_expectation,0.200000,1,1.0000,0.200000,0.200000,Inflation expectations — key for credibility,2026-05-03T20:30:00.072964+00:00
61,2020-02-05,EU,EUR,Labor,unemployment_rate,-0.100000,-1,3.0000,0.100000,0.300000,Euro-area unemployment — secondary mandate,2026-05-03T20:30:00.072964+00:00
62,2020-02-05,EU,EUR,Growth,manufacturing_pmi,0.801388,1,1.0000,0.801388,0.801388,Manufacturing PMI — industrial sector pulse,2026-05-03T20:30:00.072964+00:00
63,2020-02-05,JP,JPY,Inflation,core_cpi_yoy,0.000000,1,3.0000,0.000000,0.000000,Core CPI ex fresh food — BoJ's preferred measure,2026-05-03T20:30:00.072964+00:00
64,2020-02-05,JP,JPY,Growth,composite_pmi,0.141421,1,2.0000,0.141421,0.282842,Composite PMI — real-time activity,2026-05-03T20:30:00.072964+00:00
65,2020-02-05,JP,JPY,Growth,industrial_production_mom,2.300000,1,1.0000,2.300000,2.300000,Industrial production — Japan is export-driven,2026-05-03T20:30:00.072964+00:00
66,2020-02-05,AU,AUD,Growth,composite_pmi,1.555635,1,2.0000,1.555635,3.111270,Composite PMI,2026-05-03T20:30:00.072964+00:00
67,2020-02-06,EU,EUR,Inflation,core_cpi_yoy,-0.200000,1,3.0000,-0.200000,-0.600000,Core HICP — ECB's focus once supply shocks pass,2026-05-03T20:30:00.072964+00:00
68,2020-02-06,EU,EUR,Inflation,cpi_headline_yoy,0.100000,1,2.0000,0.100000,0.200000,Headline HICP — primary ECB mandate target,2026-05-03T20:30:00.072964+00:00
69,2020-02-06,EU,EUR,Inflation,consumer_inflation_expectation,0.200000,1,1.0000,0.200000,0.200000,Inflation expectations — key for credibility,2026-05-03T20:30:00.072964+00:00
70,2020-02-06,EU,EUR,Labor,unemployment_rate,-0.100000,-1,3.0000,0.100000,0.300000,Euro-area unemployment — secondary mandate,2026-05-03T20:30:00.072964+00:00
71,2020-02-06,EU,EUR,Growth,manufacturing_pmi,0.801388,1,1.0000,0.801388,0.801388,Manufacturing PMI — industrial sector pulse,2026-05-03T20:30:00.072964+00:00
72,2020-02-06,JP,JPY,Inflation,core_cpi_yoy,0.000000,1,3.0000,0.000000,0.000000,Core CPI ex fresh food — BoJ's preferred measure,2026-05-03T20:30:00.072964+00:00
73,2020-02-06,JP,JPY,Growth,composite_pmi,0.141421,1,2.0000,0.141421,0.282842,Composite PMI — real-time activity,2026-05-03T20:30:00.072964+00:00
74,2020-02-06,JP,JPY,Growth,industrial_production_mom,2.300000,1,1.0000,2.300000,2.300000,Industrial production — Japan is export-driven,2026-05-03T20:30:00.072964+00:00
75,2020-02-06,AU,AUD,Growth,composite_pmi,1.555635,1,2.0000,1.555635,3.111270,Composite PMI,2026-05-03T20:30:00.072964+00:00
76,2020-02-06,AU,AUD,Growth,retail_sales_mom,-1.400000,1,2.0000,-1.400000,-2.800000,Retail sales — consumer demand,2026-05-03T20:30:00.072964+00:00
77,2020-02-07,EU,EUR,Inflation,core_cpi_yoy,-0.200000,1,3.0000,-0.200000,-0.600000,Core HICP — ECB's focus once supply shocks pass,2026-05-03T20:30:00.072964+00:00
78,2020-02-07,EU,EUR,Inflation,cpi_headline_yoy,0.100000,1,2.0000,0.100000,0.200000,Headline HICP — primary ECB mandate target,2026-05-03T20:30:00.072964+00:00
79,2020-02-07,EU,EUR,Inflation,consumer_inflation_expectation,0.200000,1,1.0000,0.200000,0.200000,Inflation expectations — key for credibility,2026-05-03T20:30:00.072964+00:00
80,2020-02-07,EU,EUR,Labor,unemployment_rate,-0.100000,-1,3.0000,0.100000,0.300000,Euro-area unemployment — secondary mandate,2026-05-03T20:30:00.072964+00:00
81,2020-02-07,EU,EUR,Growth,manufacturing_pmi,0.801388,1,1.0000,0.801388,0.801388,Manufacturing PMI — industrial sector pulse,2026-05-03T20:30:00.072964+00:00
82,2020-02-07,JP,JPY,Inflation,core_cpi_yoy,0.000000,1,3.0000,0.000000,0.000000,Core CPI ex fresh food — BoJ's preferred measure,2026-05-03T20:30:00.072964+00:00
83,2020-02-07,JP,JPY,Growth,composite_pmi,0.141421,1,2.0000,0.141421,0.282842,Composite PMI — real-time activity,2026-05-03T20:30:00.072964+00:00
84,2020-02-07,JP,JPY,Growth,industrial_production_mom,2.300000,1,1.0000,2.300000,2.300000,Industrial production — Japan is export-driven,2026-05-03T20:30:00.072964+00:00
85,2020-02-07,AU,AUD,Growth,composite_pmi,1.555635,1,2.0000,1.555635,3.111270,Composite PMI,2026-05-03T20:30:00.072964+00:00
86,2020-02-07,AU,AUD,Growth,retail_sales_mom,-1.400000,1,2.0000,-1.400000,-2.800000,Retail sales — consumer demand,2026-05-03T20:30:00.072964+00:00
87,2020-02-07,CA,CAD,Labor,unemployment_rate,-0.100000,-1,3.0000,0.100000,0.300000,Canada unemployment,2026-05-03T20:30:00.072964+00:00
88,2020-02-07,CA,CAD,Labor,employment_change,-0.700000,1,2.0000,-0.700000,-1.400000,Employment change,2026-05-03T20:30:00.072964+00:00
89,2020-02-07,CA,CAD,Growth,ivey_pmi_sa,5.400000,1,2.0000,5.400000,10.800000,Ivey PMI — BoC-watched activity gauge,2026-05-03T20:30:00.072964+00:00
90,2020-02-10,EU,EUR,Inflation,core_cpi_yoy,-0.200000,1,3.0000,-0.200000,-0.600000,Core HICP — ECB's focus once supply shocks pass,2026-05-03T20:30:00.072964+00:00
91,2020-02-10,EU,EUR,Inflation,cpi_headline_yoy,0.100000,1,2.0000,0.100000,0.200000,Headline HICP — primary ECB mandate target,2026-05-03T20:30:00.072964+00:00
92,2020-02-10,EU,EUR,Inflation,consumer_inflation_expectation,0.200000,1,1.0000,0.200000,0.200000,Inflation expectations — key for credibility,2026-05-03T20:30:00.072964+00:00
93,2020-02-10,EU,EUR,Labor,unemployment_rate,-0.100000,-1,3.0000,0.100000,0.300000,Euro-area unemployment — secondary mandate,2026-05-03T20:30:00.072964+00:00
94,2020-02-10,EU,EUR,Growth,manufacturing_pmi,0.801388,1,1.0000,0.801388,0.801388,Manufacturing PMI — industrial sector pulse,2026-05-03T20:30:00.072964+00:00
95,2020-02-10,JP,JPY,Inflation,core_cpi_yoy,0.000000,1,3.0000,0.000000,0.000000,Core CPI ex fresh food — BoJ's preferred measure,2026-05-03T20:30:00.072964+00:00
96,2020-02-10,JP,JPY,Growth,composite_pmi,0.141421,1,2.0000,0.141421,0.282842,Composite PMI — real-time activity,2026-05-03T20:30:00.072964+00:00
97,2020-02-10,JP,JPY,Growth,industrial_production_mom,2.300000,1,1.0000,2.300000,2.300000,Industrial production — Japan is export-driven,2026-05-03T20:30:00.072964+00:00
98,2020-02-10,AU,AUD,Growth,composite_pmi,1.555635,1,2.0000,1.555635,3.111270,Composite PMI,2026-05-03T20:30:00.072964+00:00
99,2020-02-10,AU,AUD,Growth,retail_sales_mom,-1.400000,1,2.0000,-1.400000,-2.800000,Retail sales — consumer demand,2026-05-03T20:30:00.072964+00:00
100,2020-02-10,CA,CAD,Labor,unemployment_rate,-0.100000,-1,3.0000,0.100000,0.300000,Canada unemployment,2026-05-03T20:30:00.072964+00:00
101,2020-02-10,CA,CAD,Labor,employment_change,-0.700000,1,2.0000,-0.700000,-1.400000,Employment change,2026-05-03T20:30:00.072964+00:00
102,2020-02-10,CA,CAD,Growth,ivey_pmi_sa,5.400000,1,2.0000,5.400000,10.800000,Ivey PMI — BoC-watched activity gauge,2026-05-03T20:30:00.072964+00:00
103,2020-02-10,CH,CHF,Inflation,cpi_headline_yoy,0.000000,1,3.0000,0.000000,0.000000,Swiss CPI — primary SNB target (0-2% range),2026-05-03T20:30:00.072964+00:00
104,2020-02-10,CH,CHF,Labor,unemployment_rate,0.100000,-1,2.0000,-0.100000,-0.200000,Swiss unemployment,2026-05-03T20:30:00.072964+00:00
105,2020-02-11,EU,EUR,Inflation,core_cpi_yoy,-0.200000,1,3.0000,-0.200000,-0.600000,Core HICP — ECB's focus once supply shocks pass,2026-05-03T20:30:00.072964+00:00
106,2020-02-11,EU,EUR,Inflation,cpi_headline_yoy,0.100000,1,2.0000,0.100000,0.200000,Headline HICP — primary ECB mandate target,2026-05-03T20:30:00.072964+00:00
107,2020-02-11,EU,EUR,Inflation,consumer_inflation_expectation,0.200000,1,1.0000,0.200000,0.200000,Inflation expectations — key for credibility,2026-05-03T20:30:00.072964+00:00
108,2020-02-11,EU,EUR,Labor,unemployment_rate,-0.100000,-1,3.0000,0.100000,0.300000,Euro-area unemployment — secondary mandate,2026-05-03T20:30:00.072964+00:00
109,2020-02-11,EU,EUR,Growth,manufacturing_pmi,0.801388,1,1.0000,0.801388,0.801388,Manufacturing PMI — industrial sector pulse,2026-05-03T20:30:00.072964+00:00
110,2020-02-11,UK,GBP,Growth,gdp_mom,0.600000,1,2.0000,0.600000,1.200000,Monthly GDP — BoE uses MoM given high-frequency releases,2026-05-03T20:30:00.072964+00:00
111,2020-02-11,JP,JPY,Inflation,core_cpi_yoy,0.000000,1,3.0000,0.000000,0.000000,Core CPI ex fresh food — BoJ's preferred measure,2026-05-03T20:30:00.072964+00:00
112,2020-02-11,JP,JPY,Growth,composite_pmi,0.141421,1,2.0000,0.141421,0.282842,Composite PMI — real-time activity,2026-05-03T20:30:00.072964+00:00
113,2020-02-11,JP,JPY,Growth,industrial_production_mom,2.300000,1,1.0000,2.300000,2.300000,Industrial production — Japan is export-driven,2026-05-03T20:30:00.072964+00:00
114,2020-02-11,AU,AUD,Growth,composite_pmi,1.555635,1,2.0000,1.555635,3.111270,Composite PMI,2026-05-03T20:30:00.072964+00:00
115,2020-02-11,AU,AUD,Growth,retail_sales_mom,-1.400000,1,2.0000,-1.400000,-2.800000,Retail sales — consumer demand,2026-05-03T20:30:00.072964+00:00
116,2020-02-11,CA,CAD,Labor,unemployment_rate,-0.100000,-1,3.0000,0.100000,0.300000,Canada unemployment,2026-05-03T20:30:00.072964+00:00
117,2020-02-11,CA,CAD,Labor,employment_change,-0.700000,1,2.0000,-0.700000,-1.400000,Employment change,2026-05-03T20:30:00.072964+00:00
118,2020-02-11,CA,CAD,Growth,ivey_pmi_sa,5.400000,1,2.0000,5.400000,10.800000,Ivey PMI — BoC-watched activity gauge,2026-05-03T20:30:00.072964+00:00
119,2020-02-11,CH,CHF,Inflation,cpi_headline_yoy,0.000000,1,3.0000,0.000000,0.000000,Swiss CPI — primary SNB target (0-2% range),2026-05-03T20:30:00.072964+00:00
120,2020-02-11,CH,CHF,Labor,unemployment_rate,0.100000,-1,2.0000,-0.100000,-0.200000,Swiss unemployment,2026-05-03T20:30:00.072964+00:00
121,2020-02-14,EU,EUR,Inflation,core_cpi_yoy,-0.200000,1,3.0000,-0.200000,-0.600000,Core HICP — ECB's focus once supply shocks pass,2026-05-03T20:30:00.072964+00:00
122,2020-02-14,EU,EUR,Inflation,cpi_headline_yoy,0.100000,1,2.0000,0.100000,0.200000,Headline HICP — primary ECB mandate target,2026-05-03T20:30:00.072964+00:00
123,2020-02-14,EU,EUR,Inflation,consumer_inflation_expectation,0.200000,1,1.0000,0.200000,0.200000,Inflation expectations — key for credibility,2026-05-03T20:30:00.072964+00:00
124,2020-02-14,EU,EUR,Labor,unemployment_rate,-0.100000,-1,3.0000,0.100000,0.300000,Euro-area unemployment — secondary mandate,2026-05-03T20:30:00.072964+00:00
125,2020-02-14,EU,EUR,Growth,gdp_qoq,0.000000,1,2.0000,0.000000,0.000000,Euro-area GDP — output gap assessment,2026-05-03T20:30:00.072964+00:00
126,2020-02-14,EU,EUR,Growth,manufacturing_pmi,0.801388,1,1.0000,0.801388,0.801388,Manufacturing PMI — industrial sector pulse,2026-05-03T20:30:00.072964+00:00
127,2020-02-14,UK,GBP,Growth,gdp_mom,0.600000,1,2.0000,0.600000,1.200000,Monthly GDP — BoE uses MoM given high-frequency releases,2026-05-03T20:30:00.072964+00:00
128,2020-02-14,JP,JPY,Inflation,core_cpi_yoy,0.000000,1,3.0000,0.000000,0.000000,Core CPI ex fresh food — BoJ's preferred measure,2026-05-03T20:30:00.072964+00:00
129,2020-02-14,JP,JPY,Growth,composite_pmi,0.141421,1,2.0000,0.141421,0.282842,Composite PMI — real-time activity,2026-05-03T20:30:00.072964+00:00
130,2020-02-14,JP,JPY,Growth,industrial_production_mom,2.300000,1,1.0000,2.300000,2.300000,Industrial production — Japan is export-driven,2026-05-03T20:30:00.072964+00:00
131,2020-02-14,AU,AUD,Growth,composite_pmi,1.555635,1,2.0000,1.555635,3.111270,Composite PMI,2026-05-03T20:30:00.072964+00:00
132,2020-02-14,AU,AUD,Growth,retail_sales_mom,-1.400000,1,2.0000,-1.400000,-2.800000,Retail sales — consumer demand,2026-05-03T20:30:00.072964+00:00
133,2020-02-14,CA,CAD,Labor,unemployment_rate,-0.100000,-1,3.0000,0.100000,0.300000,Canada unemployment,2026-05-03T20:30:00.072964+00:00
134,2020-02-14,CA,CAD,Labor,employment_change,-0.700000,1,2.0000,-0.700000,-1.400000,Employment change,2026-05-03T20:30:00.072964+00:00
135,2020-02-14,CA,CAD,Growth,ivey_pmi_sa,5.400000,1,2.0000,5.400000,10.800000,Ivey PMI — BoC-watched activity gauge,2026-05-03T20:30:00.072964+00:00
136,2020-02-14,CH,CHF,Inflation,cpi_headline_yoy,0.000000,1,3.0000,0.000000,0.000000,Swiss CPI — primary SNB target (0-2% range),2026-05-03T20:30:00.072964+00:00
137,2020-02-14,CH,CHF,Inflation,producer_import_prices_yoy,0.700000,1,2.0000,0.700000,1.400000,Producer & Import Prices — upstream inflation pipeline,2026-05-03T20:30:00.072964+00:00
138,2020-02-14,CH,CHF,Labor,unemployment_rate,0.100000,-1,2.0000,-0.100000,-0.200000,Swiss unemployment,2026-05-03T20:30:00.072964+00:00
139,2020-02-16,EU,EUR,Inflation,core_cpi_yoy,-0.200000,1,3.0000,-0.200000,-0.600000,Core HICP — ECB's focus once supply shocks pass,2026-05-03T20:30:00.072964+00:00
140,2020-02-16,EU,EUR,Inflation,cpi_headline_yoy,0.100000,1,2.0000,0.100000,0.200000,Headline HICP — primary ECB mandate target,2026-05-03T20:30:00.072964+00:00
141,2020-02-16,EU,EUR,Inflation,consumer_inflation_expectation,0.200000,1,1.0000,0.200000,0.200000,Inflation expectations — key for credibility,2026-05-03T20:30:00.072964+00:00
142,2020-02-16,EU,EUR,Labor,unemployment_rate,-0.100000,-1,3.0000,0.100000,0.300000,Euro-area unemployment — secondary mandate,2026-05-03T20:30:00.072964+00:00
143,2020-02-16,EU,EUR,Growth,gdp_qoq,0.000000,1,2.0000,0.000000,0.000000,Euro-area GDP — output gap assessment,2026-05-03T20:30:00.072964+00:00
144,2020-02-16,EU,EUR,Growth,manufacturing_pmi,0.801388,1,1.0000,0.801388,0.801388,Manufacturing PMI — industrial sector pulse,2026-05-03T20:30:00.072964+00:00
145,2020-02-16,UK,GBP,Growth,gdp_mom,0.600000,1,2.0000,0.600000,1.200000,Monthly GDP — BoE uses MoM given high-frequency releases,2026-05-03T20:30:00.072964+00:00
146,2020-02-16,JP,JPY,Inflation,core_cpi_yoy,0.000000,1,3.0000,0.000000,0.000000,Core CPI ex fresh food — BoJ's preferred measure,2026-05-03T20:30:00.072964+00:00
147,2020-02-16,JP,JPY,Growth,composite_pmi,0.141421,1,2.0000,0.141421,0.282842,Composite PMI — real-time activity,2026-05-03T20:30:00.072964+00:00
148,2020-02-16,JP,JPY,Growth,industrial_production_mom,2.300000,1,1.0000,2.300000,2.300000,Industrial production — Japan is export-driven,2026-05-03T20:30:00.072964+00:00
149,2020-02-16,AU,AUD,Growth,composite_pmi,1.555635,1,2.0000,1.555635,3.111270,Composite PMI,2026-05-03T20:30:00.072964+00:00
150,2020-02-16,AU,AUD,Growth,retail_sales_mom,-1.400000,1,2.0000,-1.400000,-2.800000,Retail sales — consumer demand,2026-05-03T20:30:00.072964+00:00
151,2020-02-16,CA,CAD,Labor,unemployment_rate,-0.100000,-1,3.0000,0.100000,0.300000,Canada unemployment,2026-05-03T20:30:00.072964+00:00
152,2020-02-16,CA,CAD,Labor,employment_change,-0.700000,1,2.0000,-0.700000,-1.400000,Employment change,2026-05-03T20:30:00.072964+00:00
153,2020-02-16,CA,CAD,Growth,ivey_pmi_sa,5.400000,1,2.0000,5.400000,10.800000,Ivey PMI — BoC-watched activity gauge,2026-05-03T20:30:00.072964+00:00
154,2020-02-16,CH,CHF,Inflation,cpi_headline_yoy,0.000000,1,3.0000,0.000000,0.000000,Swiss CPI — primary SNB target (0-2% range),2026-05-03T20:30:00.072964+00:00
155,2020-02-16,CH,CHF,Inflation,producer_import_prices_yoy,0.700000,1,2.0000,0.700000,1.400000,Producer & Import Prices — upstream inflation pipeline,2026-05-03T20:30:00.072964+00:00
156,2020-02-16,CH,CHF,Labor,unemployment_rate,0.100000,-1,2.0000,-0.100000,-0.200000,Swiss unemployment,2026-05-03T20:30:00.072964+00:00
157,2020-02-17,EU,EUR,Inflation,core_cpi_yoy,-0.200000,1,3.0000,-0.200000,-0.600000,Core HICP — ECB's focus once supply shocks pass,2026-05-03T20:30:00.072964+00:00
