central_bank_code,left_indicator_key,left_indicator,left_category,left_importance,right_indicator_key,right_indicator,right_category,right_importance,observations,correlation,abs_correlation
FED,consumer_inflation_expectations,Consumer Inflation Expectations,Inflation,2,core_cpi_yoy,Core CPI (YoY),Inflation,1,36,0.8694858285059952,0.8694858285059952
BOJ,core_cpi_yoy,Core CPI (YoY),Inflation,1,cpi_ex_food_energy_yoy,CPI Ex Food and Energy (YoY),Inflation,1,73,0.868970757094431,0.868970757094431
RBA,cpi_headline_yoy,Headline CPI (YoY),Inflation,1,producer_price_index_yoy,Producer Price Index (YoY),Inflation,2,25,0.8682017160814695,0.8682017160814695
FED,export_prices_mom,Export Prices (MoM),Inflation,3,ppi_mom,PPI (MoM),Inflation,2,33,0.8678299319452943,0.8678299319452943
FED,core_cpi_mom,Core CPI (MoM),Inflation,1,core_pce_price_index_mom,Core PCE Price Index (MoM),Inflation,1,32,0.8663916158293616,0.8663916158293616
BOJ,coincident_index,Coincident Index,Growth,2,leading_economic_index,Leading Economic Index,Growth,2,76,0.8646850130905858,0.8646850130905858
BOC,employment_change,Employment Change,Labor,1,part_time_employment_change,Part-Time Employment Change,Labor,1,76,0.864213922979389,0.864213922979389
BOJ,eco_watchers_current,Eco Watchers Survey Current,Sentiment,2,eco_watchers_outlook,Eco Watchers Survey Outlook,Sentiment,2,76,0.863586978433108,0.863586978433108
BOE,ppi_core_output_mom,PPI Core Output (MoM),Inflation,3,ppi_output_mom,PPI Output (MoM),Inflation,3,47,0.8635409471967397,0.8635409471967397
FED,continuing_jobless_claims,Continuing Jobless Claims,Labor,2,jobless_claims_4week_average,Jobless Claims 4-Week Average,Labor,2,163,0.8614645693154444,0.8614645693154444
RBA,producer_price_index_yoy,Producer Price Index (YoY),Inflation,2,rba_trimmed_mean_cpi_yoy,RBA Trimmed Mean CPI (YoY),Inflation,1,25,0.8609966990491904,0.8609966990491904
FED,consumer_inflation_expectations,Consumer Inflation Expectations,Inflation,2,core_pce_price_index_yoy,Core PCE Price Index (YoY),Inflation,1,34,0.8581723536470488,0.8581723536470488
BOE,core_cpi_mom,Core CPI (MoM),Inflation,2,core_rpi_mom,Core RPI (MoM),Inflation,3,21,0.8543896835540414,0.8543896835540414
BOJ,exports_yoy,Exports (YoY),Growth,2,industrial_production_yoy,Industrial Production (YoY),Growth,2,75,0.8535640162120188,0.8535640162120188
RBA,producer_price_index_yoy,Producer Price Index (YoY),Inflation,2,rba_weighted_median_cpi_yoy,RBA Weighted Median CPI (YoY),Inflation,1,24,0.8520374088619904,0.8520374088619904
FED,challenger_job_cuts,Challenger Job Cuts,Labor,3,unemployment_rate,Unemployment Rate,Labor,1,35,0.8513064761078252,0.8513064761078252
